 7.141e-07 3.20352e-07 0  0.2859 0.955135 0 
 7.20145e-07 3.24852e-07 0  0.279855 0.956918 0 
 7.26201e-07 3.29391e-07 0  0.273799 0.958662 0 
 7.32268e-07 3.33967e-07 0  0.267732 0.960369 0 
 7.38345e-07 3.38582e-07 0  0.261655 0.962037 0 
 7.44433e-07 3.43236e-07 0  0.255567 0.963667 0 
 7.50531e-07 3.47927e-07 0  0.249469 0.965258 0 
 7.56639e-07 3.52657e-07 0  0.243361 0.966812 0 
 7.62757e-07 3.57426e-07 0  0.237243 0.968326 0 
 7.68884e-07 3.62233e-07 0  0.231116 0.969802 0 
 7.7502e-07 3.67079e-07 0  0.22498 0.971239 0 
 7.81165e-07 3.71964e-07 0  0.218835 0.972638 0 
 7.87319e-07 3.76887e-07 0  0.212681 0.973998 0 
 7.93482e-07 3.81849e-07 0  0.206518 0.975319 0 
 7.99652e-07 3.8685e-07 0  0.200348 0.976601 0 
 8.05831e-07 3.9189e-07 0  0.194169 0.977844 0 
 8.12017e-07 3.96969e-07 0  0.187983 0.979049 0 
 8.18211e-07 4.02087e-07 0  0.181789 0.980214 0 
 8.24412e-07 4.07244e-07 0  0.175588 0.98134 0 
 8.30621e-07 4.1244e-07 0  0.169379 0.982427 0 
 8.36835e-07 4.17675e-07 0  0.163165 0.983475 0 
 8.43057e-07 4.22949e-07 0  0.156943 0.984484 0 
 8.49285e-07 4.28263e-07 0  0.150715 0.985454 0 
 8.55518e-07 4.33616e-07 0  0.144482 0.986384 0 
 8.61758e-07 4.39008e-07 0  0.138242 0.987275 0 
 8.68002e-07 4.4444e-07 0  0.131998 0.988127 0 
 8.74253e-07 4.4991e-07 0  0.125747 0.988939 0 
 8.80508e-07 4.55421e-07 0  0.119492 0.989712 0 
 8.86768e-07 4.6097e-07 0  0.113232 0.990445 0 
 8.93032e-07 4.6656e-07 0  0.106968 0.991139 0 
 8.99301e-07 4.72188e-07 0  0.100699 0.991794 0 
 9.05574e-07 4.77857e-07 0  0.0944263 0.992409 0 
 9.1185e-07 4.83564e-07 0  0.0881498 0.992984 0 
 9.1813e-07 4.89312e-07 0  0.0818698 0.99352 0 
 9.24413e-07 4.95099e-07 0  0.0755865 0.994016 0 
 9.307e-07 5.00925e-07 0  0.0693003 0.994473 0 
 9.36989e-07 5.06791e-07 0  0.0630112 0.99489 0 
 9.4328e-07 5.12697e-07 0  0.0567197 0.995267 0 
 9.49574e-07 5.18643e-07 0  0.0504258 0.995605 0 
 9.5587e-07 5.24628e-07 0  0.04413 0.995903 0 
 9.62168e-07 5.30653e-07 0  0.0378324 0.996161 0 
 9.68467e-07 5.36717e-07 0  0.0315333 0.99638 0 
 9.74767e-07 5.42821e-07 0  0.025233 0.996559 0 
 9.81068e-07 5.48965e-07 0  0.0189317 0.996698 0 
 9.8737e-07 5.55149e-07 0  0.0126295 0.996798 0 
 9.93673e-07 5.61372e-07 0  0.00632694 0.996858 0 
 9.99976e-07 5.67635e-07 0  2.40744e-05 0.996878 0 
 1.00628e-06 5.73938e-07 0  -0.00627879 0.996858 0 
 1.01258e-06 5.80281e-07 0  -0.0125814 0.996799 0 
 1.01888e-06 5.86663e-07 0  -0.0188835 0.9967 0 
 1.02518e-06 5.93085e-07 0  -0.0251849 0.996561 0 
 1.03149e-06 5.99547e-07 0  -0.0314852 0.996382 0 
 1.03778e-06 6.06048e-07 0  -0.0377843 0.996164 0 
 1.04408e-06 6.12589e-07 0  -0.0440819 0.995906 0 
 1.05038e-06 6.1917e-07 0  -0.0503778 0.995608 0 
 1.05667e-06 6.25791e-07 0  -0.0566716 0.995271 0 
 1.06296e-06 6.32451e-07 0  -0.0629632 0.994894 0 
 1.06925e-06 6.39151e-07 0  -0.0692522 0.994478 0 
 1.07554e-06 6.4589e-07 0  -0.0755385 0.994021 0 
 1.08182e-06 6.52669e-07 0  -0.0818218 0.993525 0 
 1.0881e-06 6.59488e-07 0  -0.0881018 0.99299 0 
 1.09438e-06 6.66346e-07 0  -0.0943784 0.992415 0 
